id,title,notes,release_date_date,release_date_precision,created_at,updated_at,supertype,data_source,scene_org_id,thumbnail_url,standard_url,production_type,production_subtype,platform_name,uri
26,Bjoer / Bjoer7000,"Bjoer is the original name of the intro. Bjoer 7000 refers to the Windows port released in June 2000 (add 5000 TPOLM years).

Voted #8 most popular 64k intro in [Fleur 3](https://demozoo.org/productions/104398/) (may 1999).",1997-12-29,d,2010-10-05T22:14:05.551636+00:00,2018-04-28T08:24:44.419283+00:00,production,,,https://media.demozoo.org/screens/t/65/8d/0672.26.jpg,https://media.demozoo.org/screens/s/65/8d/0672.26.jpg,Intro,64K Intro,Windows,https://demozoo.org/productions/26/
27,Squeezed,DirectX 3 or above is required.,1998-04-12,d,2010-10-05T22:14:05.551636+00:00,2017-04-16T10:50:52.698999+00:00,production,,,https://media.demozoo.org/screens/t/41/11/f808.27.jpg,https://media.demozoo.org/screens/s/41/11/f808.27.jpg,Demo,Demo,Windows,https://demozoo.org/productions/27/
28,Vandalism News #52,Contains a party report from [Silesia 3](https://demozoo.org/parties/159/).,2009-10-31,d,2010-10-05T22:14:05.551636+00:00,2018-07-24T05:45:26.098210+00:00,production,,,https://media.demozoo.org/screens/t/f5/49/a5a3.28.jpg,https://media.demozoo.org/screens/s/f5/49/a5a3.28.jpg,Diskmagazine,Diskmagazine,Commodore 64,https://demozoo.org/productions/28/
29,Krypton,,2000-06-01,m,2010-10-05T22:14:05.551636+00:00,2012-08-03T14:45:44.225843+00:00,production,,,https://media.demozoo.org/screens/t/73/ee/57c0.29.jpg,https://media.demozoo.org/screens/s/73/ee/57c0.29.jpg,Demo,Demo,Windows,https://demozoo.org/productions/29/
30,Twitching Flannels,,1999-08-01,d,2010-10-05T22:14:05.551636+00:00,2020-06-12T06:43:41.026694+00:00,production,,,https://media.demozoo.org/screens/t/a1/1f/ccae.30.jpg,https://media.demozoo.org/screens/s/a1/1f/ccae.30.jpg,Demo,Demo,Atari ST/E,https://demozoo.org/productions/30/
31,Do Zen,"Requires Microsoft's deprecated Java Virtual Machine (msjavx86.exe) to run.

A <a href=""http://www.pouet.net/prod.php?which=7992"">.NET port</a> appeared in 2002.",1999-08-07,d,2010-10-05T22:14:05.551636+00:00,2015-11-24T21:37:10.061381+00:00,production,,,https://media.demozoo.org/screens/t/68/e3/9ac6.31.jpg,https://media.demozoo.org/screens/s/68/e3/9ac6.31.jpg,Demo,Demo,,https://demozoo.org/productions/31/
32,Lacuna,,2010-07-18,d,2010-10-05T22:14:05.551636+00:00,2011-01-28T14:21:27.326043+00:00,production,,,https://media.demozoo.org/screens/t/5e/b1/7bb6.32.png,https://media.demozoo.org/screens/s/5e/b1/7bb6.32.png,Demo,Demo,Commodore 64,https://demozoo.org/productions/32/
33,Goatage,Software rendered. Uses FMOD for music output. Tested and working under Windows 7.,1999-06-12,d,2010-10-05T22:14:05.551636+00:00,2015-03-28T10:13:02.414630+00:00,production,,,https://media.demozoo.org/screens/t/bd/61/3095.33.jpg,https://media.demozoo.org/screens/s/bd/61/3095.33.jpg,Demo,Demo,Windows,https://demozoo.org/productions/33/
34,Plume,,1997-08-17,d,2010-10-05T22:14:05.551636+00:00,2017-04-10T21:49:35.697275+00:00,production,,,https://media.demozoo.org/screens/t/15/e1/ce7c.34.png,https://media.demozoo.org/screens/s/15/e1/ce7c.34.png,Demo,Demo,MS-Dos,https://demozoo.org/productions/34/
35,Toypusher,Tested and working under current versions of Windows. Minor timing bugs (esp. in the final part) might occur.,1999-07-23,d,2010-10-05T22:14:05.551636+00:00,2017-04-09T10:02:23.287513+00:00,production,,,https://media.demozoo.org/screens/t/87/19/4558.35.jpg,https://media.demozoo.org/screens/s/87/19/4558.35.jpg,Demo,Demo,Windows,https://demozoo.org/productions/35/
36,The Wind Under My Wings,"The music features vocals by <a href=""http://www.myspace.com/valeriablonde"">Valeria Blonde</a> (<a href=""http://twitter.com/valeriablonde"">twitter</a>), who is not credited directly on account of not being a scener.",2010-07-24,d,2010-10-05T22:14:05.551636+00:00,2014-03-30T09:40:43.566082+00:00,production,,,https://media.demozoo.org/screens/t/01/8f/963d.36.jpg,https://media.demozoo.org/screens/s/01/8f/963d.36.jpg,Demo,Demo,Windows,https://demozoo.org/productions/36/
37,Starbuilders,Only guaranteed to work fine on Nvidia GPU's.,2010-07-25,d,2010-10-05T22:14:05.551636+00:00,2015-03-11T22:11:03.948291+00:00,production,,,https://media.demozoo.org/screens/t/1f/1a/bdfb.37.png,https://media.demozoo.org/screens/s/1f/1a/bdfb.37.png,Intro,64K Intro,Windows,https://demozoo.org/productions/37/
38,Kkrunchy,"A small executable packer, meant to be used for 64k intros.",2006-08-24,d,2010-10-05T22:14:05.551636+00:00,2017-05-23T08:37:51.915078+00:00,production,,,https://media.demozoo.org/screens/t/08/14/2b76.38.png,https://media.demozoo.org/screens/s/08/14/2b76.38.png,Tool,Tool,Windows,https://demozoo.org/productions/38/
39,Plastik,Voted #5 in demo of the year 1998 in [Fleur 3](https://demozoo.org/productions/104398/) (may 1999).,1998-07-24,d,2010-10-05T22:14:05.551636+00:00,2020-07-16T12:47:30.248236+00:00,production,,,https://media.demozoo.org/screens/t/0d/84/f083.39.jpg,https://media.demozoo.org/screens/s/0d/84/f083.39.jpg,Demo,Demo,Windows,https://demozoo.org/productions/39/
40,Captured Dreams,"Features the fullscreen picture <a href=""http://demozoo.org/graphics/19115/"">Angelic Particles</a> by Danny and Louie, winner of the graphics competition at the same party. Fndr appears as a guest artist.

The demo requires at least 4MB fast memory and a 030-50 processor. However, the system checker searches for 020+, so in theory it is possible to run on lower specced hardware.",1997-03-30,d,2010-10-05T22:14:05.551636+00:00,2021-04-08T12:38:36.881471+00:00,production,,,https://media.demozoo.org/screens/t/9b/83/73d4.40.jpg,https://media.demozoo.org/screens/s/9b/83/73d4.40.jpg,Demo,Demo,Amiga AGA,https://demozoo.org/productions/40/
41,Zine 12 Headlines,,2007-07-26,d,2010-10-05T22:14:05.551636+00:00,2017-07-16T18:46:39.295646+00:00,production,,,https://media.demozoo.org/screens/t/82/75/0be4.41.jpg,https://media.demozoo.org/screens/s/82/75/0be4.41.jpg,Demo,Demo,Windows,https://demozoo.org/productions/41/
42,Zine 12,"Features an interview with CG scientist <a href=""http://en.wikipedia.org/wiki/Paul_Debevec"">Paul Debevec</a>.",2007-08-18,d,2010-10-05T22:14:05.551636+00:00,2014-02-08T02:23:02.920302+00:00,production,,,https://media.demozoo.org/screens/t/88/08/9441.42.jpg,https://media.demozoo.org/screens/s/88/08/9441.42.jpg,Diskmagazine,Diskmagazine,Windows,https://demozoo.org/productions/42/
